Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,6.344700,6.366500,6.321700,6.329000,6.329000,0
2003-12-02,6.328600,6.372900,6.310900,6.366700,6.366700,0
2003-12-03,6.368500,6.379000,6.336600,6.338800,6.338800,0
2003-12-04,6.337600,6.362800,6.268100,6.295800,6.295800,0
2003-12-05,6.296600,6.341100,6.283600,6.320400,6.320400,0
2003-12-08,6.321800,6.371300,6.321800,6.368900,6.368900,0
2003-12-09,6.366900,6.372100,6.290200,6.309600,6.309600,0
2003-12-10,6.309000,6.330500,6.291000,6.323600,6.323600,0
2003-12-11,6.322400,6.329700,6.211600,6.244100,6.244100,0
2003-12-12,6.243000,6.307000,6.234100,6.284000,6.284000,0
2003-12-15,6.294100,6.313900,6.244500,6.274500,6.274500,0
2003-12-16,6.277000,6.289000,6.219700,6.231100,6.231100,0
2003-12-17,6.233500,6.239600,6.184700,6.216100,6.216100,0
2003-12-18,6.216800,6.243900,6.174900,6.176200,6.176200,0
2003-12-19,6.176400,6.206600,6.156100,6.182900,6.182900,0
2003-12-22,6.191500,6.219400,6.168900,6.213300,6.213300,0
2003-12-23,6.213300,6.477300,6.202200,6.257600,6.257600,0
2003-12-24,6.256800,6.301100,6.244300,6.292800,6.292800,0
2003-12-25,6.293000,6.295900,6.264900,6.284500,6.284500,0
2003-12-26,6.284700,6.321900,6.274700,6.300500,6.300500,0
2003-12-29,6.284800,6.327800,6.259900,6.314000,6.314000,0
2003-12-30,6.309300,6.384200,6.292600,6.368800,6.368800,0
2003-12-31,6.369400,6.375900,6.138000,6.148700,6.148700,0
2004-01-01,6.148700,6.226200,6.148700,6.164900,6.164900,0
2004-01-02,6.165600,6.420700,6.159000,6.403200,6.403200,0
2004-01-05,6.397900,6.464800,6.380200,6.445100,6.445100,0
2004-01-06,6.444700,6.465900,6.423100,6.446300,6.446300,0
2004-01-07,6.447300,6.448400,6.395600,6.421000,6.421000,0
2004-01-08,6.421800,6.476500,6.380300,6.458200,6.458200,0
2004-01-09,6.458600,6.515000,6.437800,6.511600,6.511600,0
2004-01-12,6.500800,6.509600,6.468700,6.505700,6.505700,0
2004-01-13,6.504700,6.519200,6.461100,6.469900,6.469900,0
2004-01-14,6.472900,6.492100,6.245400,6.442300,6.442300,0
2004-01-15,6.443500,6.456200,6.358800,6.374000,6.374000,0
2004-01-16,6.370500,6.388500,6.343900,6.354700,6.354700,0
2004-01-19,6.362400,6.365900,6.332000,6.356600,6.356600,0
2004-01-20,6.358200,6.425100,6.338100,6.393500,6.393500,0
2004-01-21,6.395000,6.418000,6.328800,6.332200,6.332200,0
2004-01-22,6.331500,6.388000,6.302400,6.378800,6.378800,0
2004-01-23,6.378100,6.383500,6.269600,6.302000,6.302000,0
2004-01-26,6.303100,6.337900,6.283200,6.327500,6.327500,0
2004-01-27,6.325900,6.341400,6.274100,6.327800,6.327800,0
2004-01-28,6.327800,6.350900,6.232900,6.316000,6.316000,0
2004-01-29,6.317100,6.317700,6.181900,6.200300,6.200300,0
2004-01-30,6.200700,6.236700,6.180700,6.226500,6.226500,0
2004-02-02,6.217900,6.233100,6.163400,6.177200,6.177200,0
2004-02-03,6.199200,6.207000,6.154000,6.181600,6.181600,0
2004-02-04,6.186000,6.207000,6.154000,6.197300,6.197300,0
2004-02-05,6.199200,6.213800,6.175600,6.193900,6.193900,0
2004-02-06,6.192400,6.249800,6.160900,6.247200,6.247200,0
2004-02-09,6.234700,6.242400,6.201000,6.210600,6.210600,0
2004-02-10,6.210000,6.247800,6.194200,6.231100,6.231100,0
2004-02-11,6.230000,6.288500,6.192900,6.276100,6.276100,0
2004-02-12,6.274900,6.278300,6.250500,6.259500,6.259500,0
2004-02-13,6.258500,6.320200,6.241700,6.285800,6.285800,0
2004-02-16,6.283000,6.290900,6.260300,6.276500,6.276500,0
2004-02-17,6.276500,6.316200,6.275200,6.299200,6.299200,0
2004-02-18,6.297100,6.311800,6.258500,6.287500,6.287500,0
2004-02-19,6.284700,6.294300,6.179900,6.187000,6.187000,0
2004-02-20,6.186500,6.220000,6.121400,6.198000,6.198000,0
2004-02-23,6.204300,6.214300,6.153900,6.187700,6.187700,0
2004-02-24,6.187900,6.227700,6.165200,6.224200,6.224200,0
2004-02-25,6.225500,6.226000,6.165300,6.186400,6.186400,0
2004-02-26,6.186000,6.189400,6.130300,6.145800,6.145800,0
2004-02-27,6.146900,6.169000,6.121000,6.165400,6.165400,0
2004-03-01,6.144400,6.195200,6.142100,6.170400,6.170400,0
2004-03-02,6.169300,6.172600,6.132100,6.154900,6.154900,0
2004-03-03,6.155300,6.169900,6.080300,6.110300,6.110300,0
2004-03-04,6.110000,6.222900,6.107900,6.210500,6.210500,0
2004-03-05,6.209700,6.277400,6.180600,6.267800,6.267800,0
2004-03-08,6.269700,6.282000,6.225200,6.240900,6.240900,0
2004-03-09,6.240500,6.315000,6.213200,6.291700,6.291700,0
2004-03-10,6.240500,6.315000,6.205700,6.233000,6.233000,0
2004-03-11,6.234400,6.259900,6.207200,6.229700,6.229700,0
2004-03-12,6.230100,6.257000,6.165900,6.178000,6.178000,0
2004-03-15,6.177600,6.217300,6.163300,6.180800,6.180800,0
2004-03-16,6.182000,6.233700,6.173700,6.201300,6.201300,0
2004-03-17,6.204300,6.217300,6.142900,6.154100,6.154100,0
2004-03-18,6.154900,6.237900,6.130500,6.227300,6.227300,0
2004-03-19,6.229200,6.234500,6.185500,6.198700,6.198700,0
2004-03-22,6.195300,6.235000,6.187400,6.209500,6.209500,0
2004-03-23,6.209900,6.228000,6.180900,6.185400,6.185400,0
2004-03-24,6.185400,6.210500,6.151400,6.210100,6.210100,0
2004-03-25,6.209700,6.236900,6.151900,6.229900,6.229900,0
2004-03-26,6.229100,6.273100,6.203400,6.245600,6.245600,0
2004-03-29,6.253000,6.325900,6.242800,6.303600,6.303600,0
2004-03-30,6.304400,6.330900,6.285900,6.323700,6.323700,0
2004-03-31,6.324100,6.347500,6.277600,6.295300,6.295300,0
2004-04-01,6.296500,6.310400,6.263500,6.297100,6.297100,0
2004-04-02,6.296700,6.331600,6.248600,6.287200,6.287200,0
2004-04-05,6.295800,6.302700,6.266900,6.282700,6.282700,0
2004-04-06,6.282700,6.332100,6.264900,6.278600,6.278600,0
2004-04-07,6.278600,6.322400,6.271600,6.304400,6.304400,0
2004-04-08,6.304000,6.311000,6.213700,6.231800,6.231800,0
2004-04-09,6.231800,6.234200,6.206700,6.209800,6.209800,0
2004-04-12,6.231100,6.239600,6.189400,6.231100,6.231100,0
2004-04-13,6.231100,6.231100,6.158800,6.184100,6.184100,0
2004-04-14,6.182900,6.202000,6.122100,6.142900,6.142900,0
2004-04-15,6.144000,6.161300,6.106300,6.108600,6.108600,0
2004-04-16,6.106700,6.163400,6.099100,6.151600,6.151600,0
2004-04-19,6.143200,6.152900,6.126900,6.144900,6.144900,0
2004-04-20,6.106700,6.171200,6.084400,6.120800,6.120800,0
2004-04-21,6.118900,6.131500,6.057000,6.103600,6.103600,0
2004-04-22,6.099400,6.108200,6.053800,6.062100,6.062100,0
2004-04-23,6.061300,6.111300,6.043900,6.045400,6.045400,0
2004-04-26,6.066800,6.124600,6.066700,6.108100,6.108100,0
2004-04-27,6.107000,6.131000,6.083700,6.106500,6.106500,0
2004-04-28,6.107600,6.118200,5.998900,6.005500,6.005500,0
2004-04-29,6.004800,6.046900,6.001800,6.013000,6.013000,0
2004-04-30,6.016000,6.033700,5.989800,6.022300,6.022300,0
2004-05-03,6.013900,6.025800,6.000000,6.019900,6.019900,0
2004-05-04,6.019900,6.058100,6.005200,6.011000,6.011000,0
2004-05-05,6.010600,6.039200,5.989300,6.017200,6.017200,0
2004-05-06,6.017900,6.037400,5.988000,6.006000,6.006000,0
2004-05-07,6.007400,6.017500,5.937300,5.972500,5.972500,0
2004-05-10,5.962300,5.973200,5.889700,5.893600,5.893600,0
